method,n_opt,n_mach,running_time_seconds,num_constraints,num_variables,makespan,feasible_MILP,feasible_CP
MILP,25,6,52.451256275177,15850,4576,698.0,yes,yes
MILP,30,6,77.69189691543579,22920,6541,698.0,yes,yes
