method,n_opt,n_mach,running_time_seconds,num_constraints,num_variables,makespan,feasible_MILP,feasible_CP
MILP,50,6,322.69514203071594,64200,17901,707.0,yes,yes
MILP,55,6,680.9319622516632,77770,21616,732.0,yes,yes
MILP,60,6,998.3436605930328,92640,25681,757.0,yes,yes
MILP,65,6,6020.048340082169,108810,30096,757.0,yes,yes
MILP,70,6,12103.489930391312,126280,34861,767.0,yes,yes
MILP,75,6,15548.16849565506,145050,39976,767.0,yes,yes
MILP,80,6,8114.389524459839,165120,45441,767.0,yes,yes
MILP,85,6,19864.012804031372,186490,51256,767.0,yes,yes
MILP,90,6,12052.207382917404,209160,57421,770.0,yes,yes
